file,npy_path,class,label,is_augmented,status,output_path,duration_sec,error,timestamp
a100_AV.wav,D:\sop\data\processed\absent\a100_AV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a100_AV_decomposed.npz,506.7,,2026-03-08 13:08:36
a100_MV.wav,D:\sop\data\processed\absent\a100_MV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a100_MV_decomposed.npz,517.9,,2026-03-08 13:08:36
a101_AV.wav,D:\sop\data\processed\absent\a101_AV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a101_AV_decomposed.npz,517.9,,2026-03-08 13:17:05
a101_MV.wav,D:\sop\data\processed\absent\a101_MV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a101_MV_decomposed.npz,510.7,,2026-03-08 13:17:15
a101_PV.wav,D:\sop\data\processed\absent\a101_PV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a101_PV_decomposed.npz,291.8,,2026-03-08 13:25:43
a101_TV.wav,D:\sop\data\processed\absent\a101_TV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a101_TV_decomposed.npz,407.6,,2026-03-08 13:25:46
a102_AV.wav,D:\sop\data\processed\absent\a102_AV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a102_AV_decomposed.npz,375.8,,2026-03-08 13:30:35
a102_MV.wav,D:\sop\data\processed\absent\a102_MV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a102_MV_decomposed.npz,265.8,,2026-03-08 13:32:34
a102_PV.wav,D:\sop\data\processed\absent\a102_PV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a102_PV_decomposed.npz,148.9,,2026-03-08 13:36:51
a102_TV.wav,D:\sop\data\processed\absent\a102_TV.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a102_TV_decomposed.npz,132.5,,2026-03-08 13:37:00
a103_AV_1.wav,D:\sop\data\processed\absent\a103_AV_1.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a103_AV_1_decomposed.npz,192.4,,2026-03-08 13:39:13
a103_AV_2.wav,D:\sop\data\processed\absent\a103_AV_2.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a103_AV_2_decomposed.npz,41.2,,2026-03-08 13:39:20
a103_AV_3.wav,D:\sop\data\processed\absent\a103_AV_3.npy,absent,0,False,completed,D:\sop\data\decomposed\absent\a103_AV_3_decomposed.npz,313.3,,2026-03-08 13:40:01
