file,class,u1_perm_entropy,u1_sample_entropy,u1_kraskov_entropy,u2_perm_entropy,u2_sample_entropy,u2_kraskov_entropy,u3_perm_entropy,u3_sample_entropy,u3_kraskov_entropy,u4_perm_entropy,u4_sample_entropy,u4_kraskov_entropy
a100_AV_decomposed,absent,0.6306348385769145,1.2464886349490454,-3.306788638569226,0.6942678685970463,0.9663404455104732,-3.2214693605621747,0.7608331402217674,1.3355549299422118,-3.5987479658599746,0.9891574385996599,0.27206284004511977,-3.891958893336043
a100_MV_decomposed,absent,0.6139280957753653,1.582968211553027,-2.6435570692441734,0.7365248753955428,1.0148308886467843,-3.0073199524355845,0.856816274430324,0.9096782967937929,-3.3235565716639526,0.9775345810645811,1.1201184938890472,-3.578194520474013
a101_AV_decomposed,absent,0.5564774813655188,1.984332954457239,-2.7213889111611413,0.7064094106922079,1.5694999609947546,-3.6793502112949863,0.7975878270758087,1.2537068100000406,-4.319792584466161,0.9352206936810274,0.9294601177383033,-4.399793879731525
a101_MV_decomposed,absent,0.6132662983543011,1.932576618185565,-3.456343274937982,0.7277033964997888,1.7129785913747713,-4.2541875260195186,0.904029079445373,0.9811795279811382,-4.51249220586102,0.9795680175839558,0.38446526932490327,-4.717813583678207
a101_PV_decomposed,absent,0.5643792777059339,1.8523840910443017,-2.7023622655100414,0.6551065545144835,1.5954795601833371,-3.2885480359808357,0.7264554711314243,1.3193205116247697,-3.7191649507992004,0.8808258296005315,1.2757221072808267,-4.535913569497555
a101_TV_decomposed,absent,0.5941251600356152,1.6360681118678218,-3.5412708811567937,0.6468206373155626,1.7840465861392796,-4.030231657787572,0.7831185292220532,0.8736724179840475,-4.934931854090501,0.8963855530990624,0.95492735979586,-5.197499642728666
a102_AV_decomposed,absent,0.5926562047819544,0.12019318917056826,-4.252620227602233,0.5236223535105569,1.5022778641688785,-3.3882222071918866,0.8808272533869446,1.0420710227428094,-4.680810904234975,0.93379400102901,0.9948349912313338,-4.803364640440962
a102_MV_decomposed,absent,0.5461683881732379,1.949211571664169,-3.6545523395248223,0.6086309459170284,1.7190428016464987,-3.9564879860177316,0.8233179516004271,0.9533961112315569,-5.29895717136296,0.9196741902834414,1.198835958383295,-5.408189238874445
a102_PV_decomposed,absent,0.5736861952555025,1.8152163695819656,-2.755915677114576,0.6790615771880487,1.389376027657247,-3.4113688937232665,0.7821369117459827,1.3720778852473696,-3.7776693403266863,0.9138640739005403,1.0668692526271981,-4.13559501359923
a102_TV_decomposed,absent,0.5496877405860857,1.2925977855879336,-2.764473188013694,0.6023368918424362,1.6172504521707818,-2.8611272341344947,0.6963091252066497,1.3927206595653652,-3.4260385163224703,0.7970851872016078,1.1414893130244772,-3.7656596404480203
